DATE,OUTCOME,ANIMAL,VOLUME
2012-01-01,Other,DOGS,12
2012-01-01,Adoption,CATS,13
2012-01-01,Return to Owner,CATS,17
2012-01-01,Adoption,DOGS,26
2012-01-01,Other,CATS,5
2012-01-01,Return to Owner,DOGS,202
2012-01-01,Euthanasia,CATS,8
2012-01-01,Euthanasia,DOGS,17
2012-01-02,Other,DOGS,5
2012-01-02,Return to Owner,CATS,60
2012-01-02,Adoption,CATS,23
2012-01-02,Adoption,DOGS,27
2012-01-02,Other,CATS,16
2012-01-02,Return to Owner,DOGS,237
2012-01-02,Euthanasia,CATS,39
2012-01-02,Euthanasia,DOGS,13
2012-01-03,Return to Owner,DOGS,365
2012-01-03,Other,CATS,15
2012-01-03,Return to Owner,CATS,52
2012-01-03,Adoption,CATS,50
2012-01-03,Other,DOGS,10
2012-01-03,Adoption,DOGS,21
2012-01-03,Euthanasia,CATS,14
2012-01-03,Euthanasia,DOGS,14
2012-01-04,Other,CATS,2
2012-01-04,Other,DOGS,11
2012-01-04,Return to Owner,CATS,29
2012-01-04,Return to Owner,DOGS,259
2012-01-04,Adoption,CATS,20
2012-01-04,Adoption,DOGS,11
2012-01-04,Euthanasia,CATS,11
2012-01-04,Euthanasia,DOGS,13
2012-01-05,Other,DOGS,6
2012-01-05,Other,CATS,6
2012-01-05,Adoption,DOGS,12
2012-01-05,Return to Owner,DOGS,112
2012-01-05,Return to Owner,CATS,15
2012-01-05,Euthanasia,CATS,6
2012-01-05,Euthanasia,DOGS,3
2012-01-05,Return to Owner,DOGS,115
2012-01-06,Other,CATS,7
2012-01-06,Adoption,CATS,19
2012-01-06,Other,DOGS,6
2012-01-06,Adoption,DOGS,6
2012-01-06,Return to Owner,CATS,38
2012-01-06,Euthanasia,CATS,4
2012-01-06,Euthanasia,DOGS,4
2012-01-06,Adoption,DOGS,9
2012-01-07,Return to Owner,CATS,70
2012-01-07,Other,DOGS,6
2012-01-07,Return to Owner,DOGS,236
2012-01-07,Adoption,DOGS,11
2012-01-07,Other,CATS,8
2012-01-07,Euthanasia,CATS,10
2012-01-07,Euthanasia,DOGS,4
2012-01-07,Other,CATS,10
2012-01-08,Euthanasia,CATS,9
2012-01-08,Other,CATS,15
2012-01-08,Return to Owner,CATS,58
2012-01-08,Adoption,DOGS,19
2012-01-08,Euthanasia,DOGS,9
2012-01-08,Other,DOGS,5
2012-01-08,Return to Owner,DOGS,229
2012-01-08,Adoption,CATS,16
2012-01-09,Euthanasia,CATS,10
2012-01-09,Other,CATS,13
2012-01-09,Return to Owner,CATS,18
2012-01-09,Adoption,DOGS,14
2012-01-09,Euthanasia,DOGS,8
2012-01-09,Other,DOGS,5
2012-01-09,Return to Owner,DOGS,102
2012-01-09,Adoption,CATS,35
2012-01-10,Euthanasia,CATS,5
2012-01-10,Other,CATS,8
2012-01-10,Return to Owner,CATS,43
2012-01-10,Adoption,DOGS,9
2012-01-10,Euthanasia,DOGS,3
2012-01-10,Other,DOGS,7
2012-01-10,Return to Owner,DOGS,85
2012-01-10,Adoption,CATS,54
2012-01-11,Euthanasia,CATS,21
2012-01-11,Other,CATS,48
2012-01-11,Return to Owner,CATS,74
2012-01-11,Adoption,DOGS,10
2012-01-11,Euthanasia,DOGS,14
2012-01-11,Other,DOGS,23
2012-01-11,Return to Owner,DOGS,110
2012-01-11,Adoption,CATS,75
2012-01-12,Euthanasia,CATS,4
2012-01-12,Other,CATS,9
2012-01-12,Return to Owner,CATS,20
2012-01-12,Adoption,DOGS,5
2012-01-12,Euthanasia,DOGS,3
2012-01-12,Other,DOGS,7
2012-01-12,Return to Owner,DOGS,55
2012-01-12,Adoption,CATS,56
2013-01-01,Return to Owner,CATS,21
2013-01-01,Adoption,DOGS,14
2013-01-01,Other,DOGS,2
2013-01-01,Adoption,CATS,13
2013-01-01,Other,CATS,4
2013-01-01,Return to Owner,DOGS,169
2013-01-01,Euthanasia,CATS,3
2013-01-01,Euthanasia,DOGS,12
2013-01-02,Other,DOGS,7
2013-01-02,Return to Owner,DOGS,208
2013-01-02,Other,CATS,4
2013-01-02,Adoption,CATS,19
2013-01-02,Return to Owner,CATS,16
2013-01-02,Adoption,DOGS,16
2013-01-02,Euthanasia,CATS,6
2013-01-02,Euthanasia,DOGS,6
2013-01-03,Other,DOGS,2
2013-01-03,Adoption,CATS,36
2013-01-03,Return to Owner,DOGS,305
2013-01-03,Adoption,DOGS,28
2013-01-03,Other,CATS,13
2013-01-03,Return to Owner,CATS,70
2013-01-03,Euthanasia,CATS,15
2013-01-03,Euthanasia,DOGS,22
2013-01-04,Return to Owner,DOGS,295
2013-01-04,Other,CATS,9
2013-01-04,Other,DOGS,4
2013-01-04,Adoption,CATS,31
2013-01-04,Return to Owner,CATS,48
2013-01-04,Adoption,DOGS,27
2013-01-04,Euthanasia,CATS,27
2013-01-04,Euthanasia,DOGS,18
2013-01-05,Adoption,DOGS,7
2013-01-05,Other,CATS,2
2013-01-05,Adoption,CATS,22
2013-01-05,Return to Owner,CATS,17
2013-01-05,Other,DOGS,12
2013-01-05,Euthanasia,CATS,5
2013-01-05,Euthanasia,DOGS,3
2013-01-05,Return to Owner,CATS,23
2013-01-06,Adoption,CATS,16
2013-01-06,Other,DOGS,3
2013-01-06,Return to Owner,CATS,28
2013-01-06,Other,CATS,9
2013-01-06,Return to Owner,DOGS,119
2013-01-06,Euthanasia,CATS,4
2013-01-06,Euthanasia,DOGS,7
2013-01-06,Other,CATS,7
2013-01-07,Adoption,DOGS,14
2013-01-07,Return to Owner,DOGS,244
2013-01-07,Return to Owner,CATS,54
2013-01-07,Adoption,CATS,21
2013-01-07,Other,DOGS,7
2013-01-07,Euthanasia,CATS,8
2013-01-07,Euthanasia,DOGS,5
2013-01-07,Adoption,CATS,17
2013-01-08,Euthanasia,CATS,9
2013-01-08,Other,CATS,5
2013-01-08,Return to Owner,CATS,56
2013-01-08,Adoption,DOGS,20
2013-01-08,Euthanasia,DOGS,3
2013-01-08,Other,DOGS,6
2013-01-08,Return to Owner,DOGS,197
2013-01-08,Adoption,CATS,23
2013-01-09,Euthanasia,CATS,8
2013-01-09,Other,CATS,39
2013-01-09,Return to Owner,CATS,31
2013-01-09,Adoption,DOGS,10
2013-01-09,Euthanasia,DOGS,3
2013-01-09,Other,DOGS,13
2013-01-09,Return to Owner,DOGS,144
2013-01-09,Adoption,CATS,52
2013-01-10,Euthanasia,CATS,13
2013-01-10,Other,CATS,18
2013-01-10,Return to Owner,CATS,36
2013-01-10,Adoption,DOGS,7
2013-01-10,Euthanasia,DOGS,3
2013-01-10,Other,DOGS,1
2013-01-10,Return to Owner,DOGS,81
2013-01-10,Adoption,CATS,38
2013-01-11,Euthanasia,CATS,18
2013-01-11,Other,CATS,56
2013-01-11,Return to Owner,CATS,66
2013-01-11,Adoption,DOGS,10
2013-01-11,Euthanasia,DOGS,5
2013-01-11,Other,DOGS,4
2013-01-11,Return to Owner,DOGS,96
2013-01-11,Adoption,CATS,42
2013-01-12,Euthanasia,CATS,13
2013-01-12,Other,CATS,11
2013-01-12,Return to Owner,CATS,46
2013-01-12,Adoption,DOGS,5
2013-01-12,Euthanasia,DOGS,1
2013-01-12,Other,DOGS,6
2013-01-12,Return to Owner,DOGS,62
2013-01-12,Adoption,CATS,63
2014-01-01,Adoption,CATS,11
2014-01-01,Other,CATS,9
2014-01-01,Return to Owner,DOGS,264
2014-01-01,Other,DOGS,8
2014-01-01,Return to Owner,CATS,26
2014-01-01,Adoption,DOGS,33
2014-01-01,Euthanasia,CATS,15
2014-01-01,Euthanasia,DOGS,21
2014-01-02,Return to Owner,CATS,16
2014-01-02,Other,DOGS,11
2014-01-02,Adoption,DOGS,20
2014-01-02,Other,CATS,1
2014-01-02,Return to Owner,DOGS,123
2014-01-02,Adoption,CATS,13
2014-01-02,Euthanasia,CATS,6
2014-01-02,Euthanasia,DOGS,9
2014-01-03,Return to Owner,DOGS,272
2014-01-03,Return to Owner,CATS,60
2014-01-03,Adoption,DOGS,19
2014-01-03,Other,DOGS,5
2014-01-03,Adoption,CATS,41
2014-01-03,Other,CATS,9
2014-01-03,Euthanasia,CATS,15
2014-01-03,Euthanasia,DOGS,18
2014-01-04,Other,CATS,10
2014-01-04,Return to Owner,DOGS,295
2014-01-04,Adoption,DOGS,27
2014-01-04,Return to Owner,CATS,62
2014-01-04,Other,DOGS,5
2014-01-04,Adoption,CATS,26
2014-01-04,Euthanasia,CATS,25
2014-01-04,Euthanasia,DOGS,22
2014-01-05,Other,DOGS,7
2014-01-05,Other,CATS,5
2014-01-05,Return to Owner,DOGS,193
2014-01-05,Adoption,DOGS,11
2014-01-05,Adoption,CATS,11
2014-01-05,Euthanasia,CATS,7
2014-01-05,Euthanasia,DOGS,3
2014-01-05,Other,CATS,7
2014-01-06,Adoption,DOGS,11
2014-01-06,Adoption,CATS,14
2014-01-06,Other,DOGS,5
2014-01-06,Return to Owner,CATS,16
2014-01-06,Return to Owner,DOGS,95
2014-01-06,Euthanasia,CATS,4
2014-01-06,Euthanasia,DOGS,7
2014-01-06,Return to Owner,DOGS,100
2014-01-07,Return to Owner,CATS,65
2014-01-07,Other,DOGS,4
2014-01-07,Adoption,DOGS,6
2014-01-07,Return to Owner,DOGS,161
2014-01-07,Other,CATS,10
2014-01-07,Euthanasia,CATS,12
2014-01-07,Euthanasia,DOGS,9
2014-01-07,Other,DOGS,8
2014-01-08,Euthanasia,CATS,12
2014-01-08,Other,CATS,13
2014-01-08,Return to Owner,CATS,72
2014-01-08,Adoption,DOGS,25
2014-01-08,Euthanasia,DOGS,13
2014-01-08,Other,DOGS,6
2014-01-08,Return to Owner,DOGS,173
2014-01-08,Adoption,CATS,27
2014-01-09,Euthanasia,CATS,14
2014-01-09,Other,CATS,28
2014-01-09,Return to Owner,CATS,65
2014-01-09,Adoption,DOGS,12
2014-01-09,Euthanasia,DOGS,8
2014-01-09,Other,DOGS,28
2014-01-09,Return to Owner,DOGS,151
2014-01-09,Adoption,CATS,94
2014-01-10,Euthanasia,CATS,14
2014-01-10,Other,CATS,37
2014-01-10,Return to Owner,CATS,21
2014-01-10,Adoption,DOGS,5
2014-01-10,Euthanasia,DOGS,3
2014-01-10,Other,DOGS,3
2014-01-10,Return to Owner,DOGS,52
2014-01-10,Adoption,CATS,27
2014-01-11,Euthanasia,CATS,13
2014-01-11,Other,CATS,50
2014-01-11,Return to Owner,CATS,40
2014-01-11,Adoption,DOGS,5
2014-01-11,Euthanasia,DOGS,2
2014-01-11,Other,DOGS,2
2014-01-11,Return to Owner,DOGS,84
2014-01-11,Adoption,CATS,34
2014-01-12,Euthanasia,CATS,10
2014-01-12,Other,CATS,26
2014-01-12,Return to Owner,CATS,54
2014-01-12,Adoption,DOGS,5
2014-01-12,Euthanasia,DOGS,4
2014-01-12,Other,DOGS,7
2014-01-12,Return to Owner,DOGS,79
2014-01-12,Adoption,CATS,0
2015-01-01,Return to Owner,DOGS,291
2015-01-01,Adoption,DOGS,32
2015-01-01,Other,CATS,11
2015-01-01,Other,DOGS,12
2015-01-01,Adoption,CATS,23
2015-01-01,Return to Owner,CATS,51
2015-01-01,Euthanasia,CATS,31
2015-01-01,Euthanasia,DOGS,12
2015-01-02,Adoption,CATS,13
2015-01-02,Adoption,DOGS,15
2015-01-02,Return to Owner,DOGS,144
2015-01-02,Other,CATS,3
2015-01-02,Return to Owner,CATS,14
2015-01-02,Other,DOGS,5
2015-01-02,Euthanasia,CATS,4
2015-01-02,Euthanasia,DOGS,9
2015-01-03,Return to Owner,DOGS,219
2015-01-03,Return to Owner,CATS,70
2015-01-03,Adoption,CATS,25
2015-01-03,Other,CATS,12
2015-01-03,Adoption,DOGS,16
2015-01-03,Other,DOGS,8
2015-01-03,Euthanasia,CATS,14
2015-01-03,Euthanasia,DOGS,15
2015-01-04,Adoption,CATS,32
2015-01-04,Return to Owner,DOGS,265
2015-01-04,Other,CATS,10
2015-01-04,Adoption,DOGS,21
2015-01-04,Return to Owner,CATS,69
2015-01-04,Other,DOGS,10
2015-01-04,Euthanasia,CATS,18
2015-01-04,Euthanasia,DOGS,14
2015-01-05,Return to Owner,CATS,38
2015-01-05,Other,DOGS,8
2015-01-05,Adoption,CATS,11
2015-01-05,Return to Owner,DOGS,200
2015-01-05,Adoption,DOGS,17
2015-01-05,Euthanasia,CATS,8
2015-01-05,Euthanasia,DOGS,8
2015-01-05,Return to Owner,CATS,61
2015-01-06,Other,CATS,2
2015-01-06,Adoption,CATS,13
2015-01-06,Return to Owner,CATS,15
2015-01-06,Adoption,DOGS,4
2015-01-06,Other,DOGS,4
2015-01-06,Euthanasia,CATS,3
2015-01-06,Euthanasia,DOGS,4
2015-01-06,Return to Owner,CATS,17
2015-01-07,Other,CATS,22
2015-01-07,Return to Owner,CATS,43
2015-01-07,Adoption,CATS,15
2015-01-07,Adoption,DOGS,9
2015-01-07,Return to Owner,DOGS,132
2015-01-07,Euthanasia,CATS,5
2015-01-07,Euthanasia,DOGS,2
2015-01-07,Adoption,CATS,9
2015-01-08,Euthanasia,CATS,13
2015-01-08,Other,CATS,8
2015-01-08,Return to Owner,CATS,75
2015-01-08,Adoption,DOGS,9
2015-01-08,Euthanasia,DOGS,7
2015-01-08,Other,DOGS,2
2015-01-08,Return to Owner,DOGS,158
2015-01-08,Adoption,CATS,15
2015-01-09,Euthanasia,CATS,30
2015-01-09,Other,CATS,37
2015-01-09,Return to Owner,CATS,79
2015-01-09,Adoption,DOGS,11
2015-01-09,Euthanasia,DOGS,4
2015-01-09,Other,DOGS,6
2015-01-09,Return to Owner,DOGS,189
2015-01-09,Adoption,CATS,94
2015-01-10,Euthanasia,CATS,6
2015-01-10,Other,CATS,41
2015-01-10,Return to Owner,CATS,43
2015-01-10,Adoption,DOGS,11
2015-01-10,Euthanasia,DOGS,5
2015-01-10,Other,DOGS,6
2015-01-10,Return to Owner,DOGS,92
2015-01-10,Adoption,CATS,50
2015-01-11,Euthanasia,CATS,10
2015-01-11,Other,CATS,34
2015-01-11,Return to Owner,CATS,30
2015-01-11,Adoption,DOGS,8
2015-01-11,Euthanasia,DOGS,6
2015-01-11,Other,DOGS,6
2015-01-11,Return to Owner,DOGS,60
2015-01-11,Adoption,CATS,29
2015-01-12,Adoption,CATS,44
2015-01-12,Euthanasia,CATS,19
2015-01-12,Other,CATS,70
2015-01-12,Return to Owner,CATS,68
2015-01-12,Adoption,DOGS,6
2015-01-12,Euthanasia,DOGS,1
2015-01-12,Other,DOGS,6
2015-01-12,Return to Owner,DOGS,84
2016-01-01,Adoption,CATS,17
2016-01-01,Return to Owner,DOGS,338
2016-01-01,Return to Owner,CATS,58
2016-01-01,Other,CATS,9
2016-01-01,Adoption,DOGS,41
2016-01-01,Other,DOGS,10
2016-01-01,Euthanasia,CATS,30
2016-01-01,Euthanasia,DOGS,19
2016-01-02,Other,CATS,0
2016-01-02,Return to Owner,CATS,12
2016-01-02,Other,DOGS,4
2016-01-02,Adoption,DOGS,27
2016-01-02,Adoption,CATS,13
2016-01-02,Return to Owner,DOGS,181
2016-01-02,Euthanasia,CATS,8
2016-01-02,Euthanasia,DOGS,11
2016-01-03,Return to Owner,DOGS,154
2016-01-03,Other,CATS,5
2016-01-03,Adoption,CATS,17
2016-01-03,Return to Owner,CATS,23
2016-01-03,Other,DOGS,3
2016-01-03,Adoption,DOGS,16
2016-01-03,Euthanasia,CATS,11
2016-01-03,Euthanasia,DOGS,10
2016-01-04,Return to Owner,CATS,73
2016-01-04,Adoption,CATS,23
2016-01-04,Adoption,DOGS,28
2016-01-04,Return to Owner,DOGS,305
2016-01-04,Other,CATS,16
2016-01-04,Other,DOGS,2
2016-01-04,Euthanasia,CATS,7
